Event_Geo,Event_Culture,Culture_base
NA,en-us,en-us
NA,en-ca,en-ca
NA,en-ca,fr-ca
NA,NA_all,en-us
NA,NA_all,en-ca
NA,NA_all,fr-ca
EMEA,en-gb,en-gb
EMEA,de-de,de-de
EMEA,ru-ru,ru-ru
EMEA,es-es,es-es
EMEA,fr-fr,fr-fr
EMEA,tr-tr,tr-tr
EMEA,it-it,it-it
EMEA,pl-pl,pl-pl
EMEA,nl-nl,nl-nl
EMEA,sv-se,sv-se
EMEA,pt-pt,pt-pt
EMEA,en-ie,en-ie
EMEA,nb-no,nb-no
EMEA,cs-cz,cs-cz
EMEA,da-dk,da-dk
EMEA,fi-fi,fi-fi
EMEA,el-gr,el-gr
EMEA,de-ch,de-ch
EMEA,es-pa,es-pa
EMEA,en-zw,en-zw
EMEA,en-tt,en-tt
EMEA,hu-hu,hu-hu
EMEA,sk-sk,sk-sk
EMEA,fr-ch,fr-ch
EMEA,EMEA_all,en-gb
EMEA,EMEA_all,de-de
EMEA,EMEA_all,ru-ru
EMEA,EMEA_all,es-es
EMEA,EMEA_all,fr-fr
EMEA,EMEA_all,tr-tr
EMEA,EMEA_all,it-it
EMEA,EMEA_all,pl-pl
EMEA,EMEA_all,nl-nl
EMEA,EMEA_all,sv-se
EMEA,EMEA_all,pt-pt
EMEA,EMEA_all,en-ie
EMEA,EMEA_all,nb-no
EMEA,EMEA_all,cs-cz
EMEA,EMEA_all,da-dk
EMEA,EMEA_all,fi-fi
EMEA,EMEA_all,el-gr
EMEA,EMEA_all,de-ch
EMEA,EMEA_all,es-pa
EMEA,EMEA_all,en-zw
EMEA,EMEA_all,en-tt
EMEA,EMEA_all,hu-hu
EMEA,EMEA_all,sk-sk
EMEA,EMEA_all,fr-ch
LTAM,pt-br,pt-br
LTAM,es-mx,es-mx
LTAM,es-co,es-co
LTAM,es-ar,es-ar
LTAM,es-cl,es-cl
LTAM,es-pe,es-pe
LTAM,es-pa,es-pa
LTAM,en-tt,en-tt
LTAM,en-pa,en-pa
LTAM,LTAM_all,pt-br
LTAM,LTAM_all,es-mx
LTAM,LTAM_all,es-co
LTAM,LTAM_all,es-ar
LTAM,LTAM_all,es-cl
LTAM,LTAM_all,es-pe
LTAM,LTAM_all,es-pa
LTAM,LTAM_all,en-tt
LTAM,LTAM_all,en-pa
JAPAC,zh-cn,zh-cn
JAPAC,ja-jp,ja-jp
JAPAC,ko-kr,ko-kr
JAPAC,en-in,en-in
JAPAC,zh-tw,zh-tw
JAPAC,en-au,en-au
JAPAC,en-ph,en-ph
JAPAC,en-my,en-my
JAPAC,en-sg,en-sg
JAPAC,zh-hk,zh-hk
JAPAC,en-nz,en-nz
